"Serie","Folio","cfdiUUID","Tipo","Fecha","Hora","RFC","Receptor","Estado","Primer Concepto","Forma de pago","Método de pago","Moneda","Tipo de Cambio","Subtotal","Impuesto Retenido IVA","Impuesto Retenido ISR","Impuesto Trasladado IVA","Impuesto Trasladado IEPS","Impuesto Local Retenido","Impuesto Local Trasladado","Descuento","Total","Fecha Inicial de Pago","Fecha Final de Pago","Subtotal MXN","Impuesto Retenido IVA MXN","Impuesto Retenido ISR MXN","Impuesto Trasladado IVA MXN","Impuesto Trasladado IEPS MXN","Impuesto Local Retenido MXN","Impuesto Local Trasladado MXN","Descuento MXN","Total MXN",
"","6082","EED2D94F-CACF-4476-AC56-A60A6E0F2550","Factura","03/06/2026","08:15:16","XEXX010101000","ZF SERBIA D.O.O","Vigente","REM 010/2025 QUOTE 337/2025 VISUAL INSPECTION ON PN 5924463AA FOR BUTTON PUSHED DOWN  180415 PIECES","Por definir","Pago en parcialidades o diferido","Dolar americano","18.80","4510.38","0.00","0.00","0.00","0.00","0.00","0.00","0.00","4510.38","","","84795.14","0.00","0.00","0.00","0.00","0.00","0.00","0.00","84795.14","",""
"","6083","1B83DE7F-F03C-447D-A6B6-5FEBF7868AE6","Factura","08/06/2026","07:30:18","JSS981210P91","JFE SHOJI STEEL DE MEXICO","Vigente","REM 0248/2026 Apoyo Servicio de inspeccion de calidad por ingeniero en planta Nidec Periodo del 04 de Mayo al 31 Mayo 2026 T.C. $ 20.00","Por definir","Pago en parcialidades o diferido","Peso Mexicano","","81600.00","0.00","0.00","6528.00","0.00","0.00","0.00","0.00","88128.00","","","81600.00","0.00","0.00","6528.00","0.00","0.00","0.00","0.00","88128.00","",""
"","6084","F46D63CC-7F45-40DD-A68C-62A90FC40E5A","Factura","08/06/2026","07:50:30","PAM0405207T0","VALEO TELEMATICA Y ACUSTICA","Vigente","REMISION 0249/2026 VISUAL INSPECTION ON PN S000046344, S000046346, E1136083, E1136092 for knock, stain y burbble at valeo  May 18th  - May 24th 2026 246 HOURS","Por definir","Pago en parcialidades o diferido","Peso Mexicano","","46740.00","0.00","0.00","3739.20","0.00","0.00","0.00","0.00","50479.20","","","46740.00","0.00","0.00","3739.20","0.00","0.00","0.00","0.00","50479.20","",""
"","6085","8789DBF7-3C26-44C4-B820-8B80712A33AD","Factura","08/06/2026","07:52:34","PAM0405207T0","VALEO TELEMATICA Y ACUSTICA","Vigente","REMISION 0250/2026 ALMACEN VALEO  MAY 18TH -MAY 24TH 2026 45 HOURS 1ER  TURNO","Por definir","Pago en parcialidades o diferido","Peso Mexicano","","8550.00","0.00","0.00","684.00","0.00","0.00","0.00","0.00","9234.00","","","8550.00","0.00","0.00","684.00","0.00","0.00","0.00","0.00","9234.00","",""
"","6086","134586B0-09BF-4C04-B4C4-788309599A0C","Factura","08/06/2026","07:55:20","PAM0405207T0","VALEO TELEMATICA Y ACUSTICA","Vigente","REMISION 0251/2026 VISUAL INSPECTION ON PN S000046344, S000046346, E1136083, E1136092 for knock, stain y burbble at valeo  May 25th  - May 31th 2026 246 HOURS","Por definir","Pago en parcialidades o diferido","Peso Mexicano","","46740.00","0.00","0.00","3739.20","0.00","0.00","0.00","0.00","50479.20","","","46740.00","0.00","0.00","3739.20","0.00","0.00","0.00","0.00","50479.20","",""
"","6087","13ECA987-47F7-403D-AEAA-EA9C414CE5BF","Factura","08/06/2026","07:56:30","PAM0405207T0","VALEO TELEMATICA Y ACUSTICA","Vigente","REMISION 0252/2026 ALMACEN VALEO  MAY 25TH -MAY 31TH 2026 45 HOURS 1ER  TURNO","Por definir","Pago en parcialidades o diferido","Peso Mexicano","","8550.00","0.00","0.00","684.00","0.00","0.00","0.00","0.00","9234.00","","","8550.00","0.00","0.00","684.00","0.00","0.00","0.00","0.00","9234.00","",""
"","6088","2048E9CE-DECA-41E1-8734-91B94DBAADBA","Factura","08/06/2026","08:14:36","JSS981210P91","JFE SHOJI STEEL DE MEXICO","Vigente","rem 237 Inpeccion de Calidad en el NP M0051712  for stator contamination 17/03/2026  8 18/03/2026  8 23/08/2026  8 06/04/2026  8 17/04/2026  8 TOTAL 40 hrs","Por definir","Pago en parcialidades o diferido","Peso Mexicano","","8000.00","0.00","0.00","640.00","0.00","0.00","0.00","0.00","8640.00","","","8000.00","0.00","0.00","640.00","0.00","0.00","0.00","0.00","8640.00","",""
"","6089","8B9B81A5-4592-4D96-8A7A-898C1BBAEAFD","Factura","08/06/2026","08:15:18","JSS981210P91","JFE SHOJI STEEL DE MEXICO","Vigente","rem 238/2026 Inpeccion de Calidad en el NP M0051712  for stator contamination  05/05/2026  8 06/05/2026  16 13/05/2026  16 19/05/2026  17    TOTAL 57 hrs","Por definir","Pago en parcialidades o diferido","Peso Mexicano","","11400.00","0.00","0.00","912.00","0.00","0.00","0.00","0.00","12312.00","","","11400.00","0.00","0.00","912.00","0.00","0.00","0.00","0.00","12312.00","",""
"","6090","9A9178F4-76EB-4873-B3DB-1825F0DA5EBB","Complemento de Pagos","08/06/2026","10:13:53","PAM0405207T0","VALEO TELEMATICA Y ACUSTICA","Vigente","Pago","","","Los códigos asignados para las transacciones en que intervenga ninguna moneda","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","",""
"","6091","AC32343F-4126-48C8-81B3-89BE40C5BB12","Complemento de Pagos","08/06/2026","10:18:58","TPM150904FFA","TRANS-MATIC PRECISION METAL FORMING DE MEXICO","Vigente","Pago","","","Los códigos asignados para las transacciones en que intervenga ninguna moneda","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","",""
"","6092","B7E584E2-5E5F-4C28-8794-78CE5151524B","Complemento de Pagos","08/06/2026","10:21:01","PME160830PSA","POLLMANN DE MEXICO","Vigente","Pago","","","Los códigos asignados para las transacciones en que intervenga ninguna moneda","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","",""
"","6093","4D543213-9237-47F0-9CED-D73FD8B044A8","Complemento de Pagos","08/06/2026","10:23:04","JSS981210P91","JFE SHOJI STEEL DE MEXICO","Vigente","Pago","","","Los códigos asignados para las transacciones en que intervenga ninguna moneda","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","",""
"","6094","13664D38-9742-4992-805C-C4B255CFCD8A","Complemento de Pagos","08/06/2026","10:32:37","PAM0405207T0","VALEO TELEMATICA Y ACUSTICA","Vigente","Pago","","","Los códigos asignados para las transacciones en que intervenga ninguna moneda","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","",""
"","6095","CD5498FC-EF7A-4EBD-834C-BE544F4D535B","Complemento de Pagos","08/06/2026","11:10:05","OIM060607E51","OLSON INTERNATIONAL DE MONTERREY","Vigente","Pago","","","Los códigos asignados para las transacciones en que intervenga ninguna moneda","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","",""
"","6096","7526DB65-D539-46BE-9AD1-40FDAB316C06","Complemento de Pagos","08/06/2026","11:11:56","PME160830PSA","POLLMANN DE MEXICO","Vigente","Pago","","","Los códigos asignados para las transacciones en que intervenga ninguna moneda","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","",""
"","6097","8AD7C30C-F622-4CDF-AAB1-9BD77FED1BBE","Complemento de Pagos","08/06/2026","11:14:33","XEXX010101000","SILICON CRAFT TECHNOLOGY PUBLIC COMPANY LIMITED","Vigente","Pago","","","Los códigos asignados para las transacciones en que intervenga ninguna moneda","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","",""
"","6098","0191E720-C058-4A70-B71E-4E413685A17F","Complemento de Pagos","08/06/2026","11:16:46","XEXX010101000","LAFRANCE CORP","Vigente","Pago","","","Los códigos asignados para las transacciones en que intervenga ninguna moneda","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","",""
"","6099","35F0C78F-50FE-4A29-80F2-22F62253DC0E","Complemento de Pagos","08/06/2026","11:19:56","XEXX010101000","ZHEJIANGKHANSWORD PRECISION MACHINERY CO LTD","Vigente","Pago","","","Los códigos asignados para las transacciones en que intervenga ninguna moneda","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","",""
"","6100","A9D55C74-2803-4CAA-A226-D33C3EB1E621","Complemento de Pagos","08/06/2026","11:22:56","XEXX010101000","VALLOTECH","Vigente","Pago","","","Los códigos asignados para las transacciones en que intervenga ninguna moneda","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","",""
"","6101","34446D1C-617D-45ED-A71B-6770E225D91F","Complemento de Pagos","08/06/2026","11:25:30","XEXX010101000","STRATTEC SECURITY CORPORATION","Vigente","Pago","","","Los códigos asignados para las transacciones en que intervenga ninguna moneda","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","",""
"","6102","FF41FF82-EFF3-48C5-BB69-494E7FA0E4E9","Complemento de Pagos","08/06/2026","11:28:57","XEXX010101000","JOHNSON ELECTRIC","Vigente","Pago","","","Los códigos asignados para las transacciones en que intervenga ninguna moneda","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","",""
"","6103","EAE118D3-23B3-4A8E-B97B-D7F29084429C","Complemento de Pagos","08/06/2026","11:32:28","XEXX010101000","SHANGHAI ZHIXIANG RUBBER AND PLASTICS CO","Vigente","Pago","","","Los códigos asignados para las transacciones en que intervenga ninguna moneda","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","",""
"","6104","825ED2FC-FF24-4BCD-8581-18716703D697","Complemento de Pagos","08/06/2026","11:35:54","XEXX010101000","MAYFAIR PLASTICS INC","Vigente","Pago","","","Los códigos asignados para las transacciones en que intervenga ninguna moneda","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","",""
"","6105","C12E138C-ED68-4CA0-9BBB-EC39C694CC94","Complemento de Pagos","08/06/2026","11:37:36","XEXX010101000","REELL PRECISION","Vigente","Pago","","","Los códigos asignados para las transacciones en que intervenga ninguna moneda","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","",""
"","6106","4071995D-C7FA-48C2-BFFF-5BBEF10B116F","Complemento de Pagos","09/06/2026","06:40:24","XEXX010101000","JMS ENGINEERED PLASTICS","Vigente","Pago","","","Los códigos asignados para las transacciones en que intervenga ninguna moneda","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","",""
"","6107","2748E022-AD86-4243-BFF9-E4DFAB1F7E56","Complemento de Pagos","09/06/2026","06:46:36","XEXX010101000","ATLANTIC SINTERED","Vigente","Pago","","","Los códigos asignados para las transacciones en que intervenga ninguna moneda","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","",""
"","6108","BEFC9364-F7F8-4F99-8B11-647328A82ACE","Complemento de Pagos","09/06/2026","06:49:47","XEXX010101000","NINGBO KEPO ELECTRONICS CO","Vigente","Pago","","","Los códigos asignados para las transacciones en que intervenga ninguna moneda","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","",""
"","6109","B84A6D5D-D266-44C4-A119-9B81875C85DA","Complemento de Pagos","09/06/2026","06:51:51","XEXX010101000","FAWN NEWTEC LTD","Vigente","Pago","","","Los códigos asignados para las transacciones en que intervenga ninguna moneda","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","",""
"","6110","3A860D45-34D4-4F66-8999-9F800327CB7E","Complemento de Pagos","09/06/2026","06:54:06","XEXX010101000","CGR TRANSILVANIA","Vigente","Pago","","","Los códigos asignados para las transacciones en que intervenga ninguna moneda","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","",""
"","6111","F2D48F1B-1ADA-46D0-9079-9905F635FFB4","Complemento de Pagos","09/06/2026","07:00:09","XEXX010101000","VALLOTECH","Vigente","Pago","","","Los códigos asignados para las transacciones en que intervenga ninguna moneda","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","",""
"","6112","AD4ED181-2379-4D7E-A4E8-247C5E0BAB16","Complemento de Pagos","09/06/2026","07:09:27","XEXX010101000","FORTEQ NORTH AMERICA","Vigente","Pago","","","Los códigos asignados para las transacciones en que intervenga ninguna moneda","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","",""
"","6113","747C9F76-C993-4089-8A8D-FA479B9634DB","Complemento de Pagos","09/06/2026","07:14:46","XEXX010101000","SHIN-ETSU POLYMER AMERICA INC","Vigente","Pago","","","Los códigos asignados para las transacciones en que intervenga ninguna moneda","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","",""
"","6114","5C847600-1387-4893-ACDB-BFAA44DCCE63","Complemento de Pagos","09/06/2026","07:17:44","XEXX010101000","MAYFAIR PLASTICS INC","Vigente","Pago","","","Los códigos asignados para las transacciones en que intervenga ninguna moneda","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","",""
"","6115","35CBED74-02D1-4B51-A85B-DD9F3CB50522","Complemento de Pagos","09/06/2026","07:20:29","XEXX010101000","APEX  SPRING & STAMPING","Vigente","Pago","","","Los códigos asignados para las transacciones en que intervenga ninguna moneda","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","",""
"","6116","7113347E-5597-4340-9E52-2B01CB6E67C7","Complemento de Pagos","09/06/2026","07:23:24","XEXX010101000","SUNWAY PRECISION INDUSTRIES","Vigente","Pago","","","Los códigos asignados para las transacciones en que intervenga ninguna moneda","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","",""
"","6117","FFE8D4F1-A3BC-4CD6-96BE-C8797515C0DE","Complemento de Pagos","09/06/2026","07:27:00","XEXX010101000","IKD FOEHL PRECISION TECHNOLOGY (JIANGSU) CO LTD","Vigente","Pago","","","Los códigos asignados para las transacciones en que intervenga ninguna moneda","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","",""
"","6118","5B4572BE-1376-4105-A86F-36A9C1E833C1","Factura","09/06/2026","08:23:33","XEXX010101000","EJOT ATF LP","Vigente","REM 173/2026 QUOTE 149/2026 INSPECTION ON PN 4342166AA DUE MATERIAL INSIDE THE RFECESS MODIFIED SORTING METHOD ONLY WITH THE TORX BIT  181197 PIECES","Por definir","Pago en parcialidades o diferido","Dolar americano","18.80","2536.76","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2536.76","","","47691.09","0.00","0.00","0.00","0.00","0.00","0.00","0.00","47691.09","",""
"","6119","BBC13B12-03D6-49CB-9772-915DCDDA6F35","Factura","09/06/2026","08:40:27","XEXX010101000","ADDISON FASTENERS","Vigente","PO ADP13413 REM 204/2026 REM 210/2026 QUOTE 204/2026 QUOTE 158/206 VISUAL INSPECTION ON PN 9400-3463.000 (12359HPS) KNURL DIAMETER IS UNDERSIZE 06.34/16 PARTS HAVE 06.083 14900 PIECES","Por definir","Pago en parcialidades o diferido","Dolar americano","18.80","670.50","0.00","0.00","0.00","0.00","0.00","0.00","0.00","670.50","","","12605.40","0.00","0.00","0.00","0.00","0.00","0.00","0.00","12605.40","",""
"","6120","901C1944-C7EC-4861-85F9-83E2133A33BD","Factura","09/06/2026","08:57:30","ISP110614EX3","INTERAUTO SUNSHADE AND PLASTIC DIVISION","Vigente","PO 2508 REM 219/2026 QUOTE 145/2026 INSPECTION ON PN PAM0065215 CENTER BRACKET, FLASHES AND BURRS ON SCREWING HOLES  1427 PIECES","Por definir","Pago en parcialidades o diferido","Peso Mexicano","","10000.00","0.00","0.00","1600.00","0.00","0.00","0.00","0.00","11600.00","","","10000.00","0.00","0.00","1600.00","0.00","0.00","0.00","0.00","11600.00","",""
"","6121","2776024B-8970-4C4D-85A6-202596005DFD","Factura","09/06/2026","09:01:10","XEXX010101000","STONE PLASTICS","Vigente","REM 226/2026 QUOTE 216/2026 INSPECTION ON PNS 4922-1003.000 & 4922-2003.000 DUE LABELED INCORRECTLY THE RIGHT HAND ANDE LEFT HAND LABELS ARE SWITCHED 24000 PIECES","Por definir","Pago en parcialidades o diferido","Dolar americano","18.80","600.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","600.00","","","11280.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","11280.00","",""
"","6122","B36BB0F9-57CB-4DDD-A379-A65F7B0993F0","Factura","09/06/2026","09:05:20","XEXX010101000","STONE PLASTICS","Cancelado","REM 226/2026 QUOTE 216/2026 INSPECTION ON PNS 4922-1003.000 & 4922-2003.000 DUE LABELED INCORRECTLY THE RIGHT HAND AND LEFT HAND LABELS ARE SWITHCED 24000 PIECES","Por definir","Pago en parcialidades o diferido","","18.80","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","",""
"","6123","06FBDD4D-8E31-442C-9AB8-F9C89B9619F3","Factura","09/06/2026","09:07:36","XEXX010101000","APEX  SPRING & STAMPING","Vigente","REM 228/2026 QUOTE 212/2026 INSPECTION ON PN 9400-3383.001 LOT A-64B DUE MIXED PARTS 45,000 PIECES","Por definir","Pago en parcialidades o diferido","Dolar americano","20.91","1350.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1350.00","","","28228.50","0.00","0.00","0.00","0.00","0.00","0.00","0.00","28228.50","",""
"","6124","D82D3615-20FB-4A72-9076-5D8E4CA40FFC","Factura","09/06/2026","09:08:47","XEXX010101000","EJOT ATF LP","Vigente","REM 229/2026 QUOTE 167/2026 INSPECTION ON PN 4342166AA DUE MATERIAL INSIDE THE RECESS, MODIFIED SORTING METHOD ONLY WITH THE TORX BIT 139240 PIECES","Por definir","Pago en parcialidades o diferido","Dolar americano","18.80","1949.36","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1949.36","","","36647.97","0.00","0.00","0.00","0.00","0.00","0.00","0.00","36647.97","",""
"","6125","4E839DB7-D05A-4B2E-BDBB-600ABB88D822","Factura","09/06/2026","09:12:04","XEXX010101000","SHANGHAI JIAHENG INDUSTRIAL CO LTD","Vigente","REM 239/2026 QUOTE 213/2026 VISUAL INSPECTION ON PN M0021813-A TO VERITY PRESSENCE OF PORES INSIDE THE ORIFFICE (POROSITY) 12338 PIECES","Por definir","Pago en parcialidades o diferido","Dolar americano","18.80","1850.70","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1850.70","","","34793.16","0.00","0.00","0.00","0.00","0.00","0.00","0.00","34793.16","",""
"","6126","B0ADA83C-F607-4797-A2FC-05005D380061","Factura","09/06/2026","09:14:11","XEXX010101000","SUNWAY PRECISION INDUSTRIES","Vigente","REM 246/2026 QUOTE 195/2026 MANUAL INSPECTION ON SEPARATORS PN 4832386AB & 4832387AB DUE CANNOT BE ASSEMBLED ON UPPER HOUSING  37200 PIECES","Por definir","Pago en parcialidades o diferido","Dolar americano","20.91","1302.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1302.00","","","27224.82","0.00","0.00","0.00","0.00","0.00","0.00","0.00","27224.82","",""
"","6127","3B00BC1E-3CA6-43A6-8E12-EFF5E482BEEB","Factura","09/06/2026","09:16:08","XEXX010101000","VALLOTECH","Vigente","REM 247/2026 QUOTE 231/2026 INSPECTION ON PN 42003236/03 FIR BLADE DAMAGE AT PHINIA  DELIVERY 157054225 PCI8129V2 3648 PIECES","Por definir","Pago en parcialidades o diferido","Dolar americano","20.440200","450.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","450.00","","","9198.09","0.00","0.00","0.00","0.00","0.00","0.00","0.00","9198.09","",""
"","6128","B396F359-D3B4-47E9-9167-2CF2FBAF8B54","Factura","09/06/2026","09:20:02","XEXX010101000","WUXI MODA TECHNOLOGY CO","Vigente","REM 254/2026 QUOTE 177/2026 INSPECTION ON PN 28638613 FOR PRESENCE OF BUBBLE IN PORT  5312 PIECES","Por definir","Pago en parcialidades o diferido","Dolar americano","18.80","850.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","850.00","","","15980.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","15980.00","",""
"","6129","634D2CD0-A7FA-4533-941D-3174B147BA0A","Factura","09/06/2026","09:23:56","XEXX010101000","WITTE NEJDEK SPOL SRO","Vigente","REM 255/2026 QUOTE 103/2026 INSPECTION ON PN 4610222AB FOR SPRING OUT OF SPECIFICATION  30561 PIECES","Por definir","Pago en parcialidades o diferido","Dolar americano","20.99","855.71","0.00","0.00","0.00","0.00","0.00","0.00","0.00","855.71","","","17961.35","0.00","0.00","0.00","0.00","0.00","0.00","0.00","17961.35","",""
